date,festival_name,category,traffic_impact
2026-01-01,New Year's Day,national,medium
2026-01-15,Pongal,regional_major,high
2026-01-16,Thiruvalluvar Day,regional,medium
2026-01-17,Uzhavar Thirunal,regional,low
2026-01-26,Republic Day,national,medium
2026-02-01,Thai Poosam,religious,high
2026-03-19,Telugu New Year,regional,low
2026-03-21,Ramzan (Id-ul-Fitr),religious,high
2026-03-31,Mahavir Jayanti,religious,low
2026-04-03,Good Friday,religious,medium
2026-04-14,Tamil New Year,regional_major,high
2026-05-01,May Day,national,low
2026-05-28,Bakrid (Id-ul-Zuha),religious,high
2026-06-26,Muharram,religious,medium
2026-08-15,Independence Day,national,medium
2026-08-26,Milad-un-Nabi,religious,medium
2026-09-04,Krishna Jayanti,religious,medium
2026-09-14,Vinayakar Chathurthi,regional_major,high
2026-10-02,Gandhi Jayanti,national,low
2026-10-19,Ayutha Pooja,religious,medium
2026-10-20,Vijaya Dasami,regional_major,high
2026-11-08,Deepavali,regional_major,very_high
2026-12-25,Christmas Day,national,medium
